key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,up,0.005,db,0.050375573608959785,0.0016096000035759062,60.288578800013056,60.288578800013056,60.58854290001909,1,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,up,0.005,db,0.050375573608959785,0.0003417999832890928,62.58875330002047,62.58875330002047,62.88822260001325,0,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,up,0.005,db,0.050404580468214756,0.00033260000054724514,65.07184160000179,65.07184160000179,65.37120230001165,1,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,up,0.005,db,0.050404580468214756,0.0010213000059593469,67.4884044000064,67.4884044000064,67.78777010002523,0,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,up,0.005,db,0.05043360402996706,0.0006080000021029264,69.90420950000407,69.90420950000407,70.20445530000143,1,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,up,0.005,db,0.05043360402996706,0.0013410999963525683,72.32113440000103,72.32113440000103,72.62152050001896,0,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,up,0.005,db,0.05046264430383419,0.0007798000006005168,74.68687360000331,74.68687360000331,74.98687750002136,0,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,up,0.005,db,0.05049170129943919,0.0012092999822925776,77.08679630002007,77.08679630002007,77.38644820000627,1,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,up,0.005,db,0.05049170129943919,0.0011123000003863126,79.50295330001973,79.50295330001973,79.80317640001886,0,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,up,0.005,db,0.050520775026410635,0.0014266999787651002,81.88643170002615,81.88643170002615,82.18589059999795,1,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,up,0.005,db,0.050520775026410635,0.0005611999949906021,84.33597100002225,84.33597100002225,84.63569700001972,0,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,up,0.005,db,0.050549865494382645,0.0012440999853424728,86.78605280001648,86.78605280001648,87.0856660999998,1,199656,001,2022-09-08_16h18.57.916,staircase exp,2022.2.2,60.01356307071888,
